review,O,C,E,A,N ,Helpfulness,Tiêu_cực,Trung_tính,Tích_cực
hàng mua trên tiki khác anh vs hàng mình đang dùng mua siêu_thị có fai hàng rỡn không vậy,0.5202,0.6285,0.546,0.7825,0.2573,0.03,0.03,0.97,0.0
chất_lượng sản_phẩm tuyệt_vời mua quen cửa_hàng r hàng chuẩn khỏi bàn_giao hàng nhanh nữa,0.5672,0.7294,0.6228,0.8592,0.2113,0.53,0.0,0.0,1.0
dùng được 2 ngày bị hỏng sửa mất gần trăm_nghìn,0.3983,0.3521,0.5059,0.373,0.6992,0.44,0.99,0.01,0.0
đóng_gói rất xấu,0.4306,0.4173,0.5147,0.5001,0.5502,0.18,0.8,0.12,0.08
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn giao hàng siu nhanh có 1 điểm trừ duy_nhất đậu_phộng không được cay lắm,0.603,0.7493,0.6963,0.8033,0.3543,0.52,0.01,0.0,0.99
đóng_gói sản_phẩm rất kém ung ho nhiê u don giao bịch thu 2 ra ch không 1cau xin_lỗi thai do qua kem kêu bô thươ roi chan khách_hàng vậy ly do la lo mua_ung ho roi nen 1s qua xung dang minh đa tôi nhug đon nay truoc bạn vo noi xâu minh,0.5732,0.8103,0.6618,0.7753,0.4387,0.38,0.0,0.0,1.0
giao nhầm hàng mặc_dù đã viết note dặn rất cẩn_thận cửa_hàng cũng không hồi_âm tư_vấn khách,0.5262,0.7139,0.5639,0.7781,0.3267,0.17,0.99,0.0,0.0
chất_liệu tệ vải có vẻ không được tốt lắm dáng cũng không đẹp nói_chung không ưng_ý,0.5482,0.7068,0.5498,0.8691,0.1661,0.52,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh cửa_hàng_phục_vụ rất tốt,0.5802,0.7492,0.6549,0.8768,0.2157,0.37,0.0,0.0,1.0
giao hàng khách_hàng đúng màu mặc_dù đã chú_thích,0.4562,0.5527,0.5005,0.6543,0.3903,0.3,0.15,0.73,0.12
cài_đặt sử_dụng rất dễ_dàng,0.4987,0.5743,0.5259,0.7176,0.3179,0.31,0.0,0.04,0.96
sp siêu xih lun cửa_hàng ơi,0.4659,0.3862,0.5609,0.5364,0.5001,0.15,0.0,0.0,1.0
dây bị lỗi bog tróc chất_lượng sản_phẩm kém,0.3631,0.2816,0.4898,0.27,0.7676,0.46,0.98,0.01,0.01
nho hạt to hình in trên hộp ăn rất ngon đóng_gói sản_phẩm cẩn_thận,0.4892,0.6539,0.5117,0.7329,0.3217,0.4,0.0,0.0,1.0
thất_vọng mua đồng_hồ nhật nhận đồng_hồ china,0.4577,0.5207,0.4548,0.6451,0.3452,0.22,1.0,0.0,0.0
mau ma va mau sac y_hinh binh thuong minh mang size 35 tat ca cac loai giay dep deu vua khit hoac hoi chat nhung 2 doi ni cung size 35 nhung hoi rong khoang 1 size nhung không co the_vi phom giay ni no rong voi lai chat lieu vai no mong va min nen hoi rong like it,0.5695,0.8143,0.6372,0.7592,0.4501,0.32,0.0,0.0,1.0
hàng mới nhận mở ra xem trầy_xước hết rồi cửa_hàng ơi giống hàng trưng_bày hay á vali mới trầy hết trơn à,0.4974,0.6696,0.5504,0.653,0.4973,0.45,0.25,0.74,0.02
ăn cảm_giác mực lâukhô cứng dai,0.396,0.3826,0.4654,0.455,0.5645,0.28,0.99,0.0,0.01
đóng_gói sản_phẩm rất kém bọc giấy chuẩn_bị hàng quá lâu,0.4546,0.5358,0.4936,0.6236,0.4379,0.12,0.98,0.01,0.01
chất_lượng sản_phẩm tuyệt_vời rất đáng tiền mua,0.4825,0.5135,0.5259,0.6511,0.3787,0.57,0.0,0.0,0.99
chất_lượng sản_phẩm tuyệt_vời giao hàng 4h gói hàng cực_kỳ chắc_chắn chống sốc mấy lớp liền hàng digiworld phân_phối giao đúng loại trả_lời tin nhắn cũng nhanh nữa best cửa_hàng cmnr,0.5953,0.8054,0.689,0.8348,0.3381,0.69,0.0,0.01,0.99
màu đẹp giá tốt nữa rất thích,0.6909,0.5306,0.9198,0.8962,0.1567,0.62,0.0,0.0,1.0
nói phòng 20 000mah sạc được có 5 pin dừng r,0.408,0.4625,0.4351,0.5403,0.489,0.45,0.66,0.04,0.31
son mau đẹp,0.4063,0.3357,0.503,0.3996,0.633,0.32,0.0,0.01,0.99
châ tôi lươ giâ y tô tôi in ma_u đe_p phâ n tri nh ba y cu ro ra gia i thi ch dê hiê u co ca phâ n ba i tâ p ư du tuy_nhiên phâ n chư tiê viê tôi râ tôi nhiê u va mâ tôi đô chư da y đă chị thâ tôi dê bi hoa mă tôi ma _,0.5281,0.8006,0.5961,0.6827,0.5525,0.04,0.55,0.44,0.0
chất_lượng bình_thường vải không đẹp lắm,0.4536,0.4093,0.5039,0.5634,0.4378,0.29,0.34,0.59,0.07
sản_phẩm đẹp đóng_gói chắc_chắn không có pin dự_phòng,0.457,0.6052,0.4499,0.662,0.3998,0.58,0.2,0.17,0.63
mua 3 giao 2,0.4704,0.479,0.544,0.6784,0.3666,0.19,0.0,0.0,1.0
tốt giầy đẹp hình cảm_ơn,0.4738,0.3905,0.5887,0.5202,0.5359,0.29,0.0,0.01,0.99
son đẹp check code tốt,0.53,0.4794,0.6469,0.7015,0.3539,0.42,0.0,0.0,1.0
thời_gian giao hàng rất chậm cửa_hàng_phục_vụ rất kém đóng_gói sản_phẩm rất kém chất_lượng sản_phẩm rất kém đặt_hàng màu bạc lúc nhận được màu vàng chát hỏi cửa_hàng không thấy phản_hồi cả gọi điện cũng không nghe rất thất_vọng về sản_phẩm cũng thái_độ phục_vụ cửa_hàng,0.5451,0.8092,0.6002,0.7473,0.4628,0.56,0.98,0.01,0.02
chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tuyệt_vời chất_lượng sản_phẩm tuyệt_vời,0.5424,0.7938,0.603,0.7056,0.5273,0.29,0.0,0.0,1.0
giá 1 29 triệu đồng quá đắc dùng được một thời_gian ngắn tiền,0.4794,0.4399,0.5478,0.5752,0.4596,0.46,0.0,0.03,0.96
đóng_gói sản_phẩm rất đẹp chắc_chắn sản_phẩm không giống hình cửa_hàng đăng,0.5215,0.717,0.5331,0.7812,0.3029,0.42,0.07,0.69,0.24
bên cửa_hàng thông_báo mình hết phấn gấu xong chuyển sang phấn vịt cửa_hàng cũng thông_báo hêt phấn vịt chuyển sang phấn 3ce chất_lượng phấn không tốt lắm nói kiềm dầu hầu_như kiềm dầu được tầm 30p thấy da mặt đầy dầu lỗ hộp phấn bên quá bé nên lượng phấn lấy ra không nhiều rất mất thời_gian phải dùng cọ phấn_phủ,0.5306,0.828,0.5704,0.7238,0.5052,0.68,0.62,0.23,0.15
chất_lượng sản_phẩm rất rất rất kém rất không đáng tiền khăn aden giặt rồi cứng đơ rát xì xì nhăn_nhúm gập 40 mất nửa tiếng mua 40 bỏ không dùng được lau con đỏ cả da lsau không bao_giờ dám mua đồ cửa_hàng,0.5814,0.8049,0.6662,0.8066,0.3863,0.86,0.89,0.02,0.09
mua 20 miếng mask nhiều loại khác nhau không bị gói nhầm hàng cửa_hàng khác làm_việc có tâm ạ đã mua nhiều lần lần cũng ưng_ý,0.5116,0.7626,0.5024,0.8091,0.2758,0.68,0.0,0.01,0.99
ốp đẹp lắm ạ cơ_mà bị nhầm em 1 hình,0.4108,0.3815,0.4753,0.4261,0.6018,0.27,0.0,0.0,1.0
thời_gian giao hàng rất nhanh chất_lượng sản_phẩm tốt chủ cửa_hàng nhiệt_tình thân_thiện sẽ ủng_hộ cửa_hàng tiếp,0.6052,0.7643,0.6993,0.8749,0.2275,0.66,0.0,0.02,0.98
dầu đặm đặc ghê cửa_hàng ạ lúc trc em có mua cửa_hàng khác màu nhạt lắn lun,0.5525,0.7294,0.594,0.8278,0.2478,0.28,0.97,0.02,0.01
giao hàng nhanh đặt_hàng 2 hôm tới nơi rất ưng cách phục_vụ nhanh_chóng cửa_hàng chất_lượng sản_phẩm chưa dùng nên chưa biết,0.6095,0.7925,0.7033,0.8975,0.2026,0.23,0.0,0.02,0.97
mặt tiếp_xúc tóc không chống dính tốt không trơn máy nóng kém,0.405,0.4159,0.4469,0.4522,0.6011,0.61,0.89,0.09,0.02
giầy đẹp lắm cửa_hàng vui_vẻ tư_vấn nhiệt_tình rất đáng tiền thời_gian giao hàng rất nhanh cửa_hàng_phục_vụ rất tốt sẽ ủng_hộ cửa_hàng giá đẹp giầy đẹp,0.7067,0.7659,0.8967,0.9117,0.2317,0.77,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn khá ưng,0.5552,0.7186,0.5969,0.8053,0.2954,0.59,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời dây xanh đậm so hình_ảnh chụp,0.4531,0.6078,0.4211,0.6926,0.3436,0.45,0.0,0.0,0.99
combo đúng nhiều luôn _ đẹp lắm cửa_hàng,0.5476,0.4909,0.6463,0.7429,0.272,0.36,0.0,0.0,1.0
cửa_hàng_phục_vụ rất tốt rất đáng tiền rất đáng tiền đóng_gói sản_phẩm rất đẹp chắc_chắn,0.6732,0.7483,0.8197,0.9334,0.1622,0.43,0.01,0.0,0.99
rất tệ máy chạy không nổi yếu_xìu xài không ngon,0.4237,0.3712,0.5447,0.4402,0.6315,0.4,1.0,0.0,0.0
cửa_hàng giao hàng nhanh đóng_gói đẹp hàng cực cute lun rất đáng tiền,0.5714,0.6615,0.6496,0.8553,0.1698,0.56,0.0,0.01,0.99
sp tốt hàng vận_chuyển hộp bị móp,0.3747,0.2487,0.5788,0.2244,0.8561,0.1,0.18,0.54,0.28
đay la lan thu 2 mua hang_that su rat hai long se_ung ho cửa_hàng dai dai,0.5016,0.6511,0.503,0.7707,0.2663,0.5,0.0,0.0,1.0
sa n phâ mình sư du đươ chị 1 nga y la kha chị liê n sư anh vê râ tôi ô n cửa_hàng anh na o du hê tôi se tiê p tu chị đă tôi ha cu anh cửa_hàng cửa_hàng tư vâ n râ tôi tâ n ti nh mi nh râ tôi thích se tiê p tu chị u hô cửa_hàng da i da i,0.6078,0.8282,0.7136,0.8283,0.3804,0.33,0.0,0.0,1.0
cửa_hàng bạn_hàng không có tâm lưỡi dao gỉ giao khách,0.4202,0.5088,0.4113,0.5928,0.4443,0.2,1.0,0.0,0.0
thời_gian giao hàng rất nhanh sổ đẹp,0.5475,0.5322,0.6665,0.7525,0.2829,0.39,0.0,0.02,0.98
bỉm chật bé mình 7kg đã thấy chật rồi ạ không dùng được bé 12kg nhé,0.4036,0.559,0.3891,0.5537,0.5378,0.47,0.04,0.05,0.91
ngon về việt nam quất luôn 1 em 13 3 inch,0.4649,0.3441,0.6325,0.4284,0.6609,0.17,0.0,0.0,1.0
sp không còn mới đã bị gỡ miếng giấy dính tấm nhựa,0.3261,0.2856,0.4595,0.2231,0.815,0.17,0.21,0.78,0.0
mình mua hồi tháng 6 vừa_rồi đang sạc iphone được 30 không sạc được nữa mình cần hỗ_trợ về bảo_hành,0.5652,0.7206,0.5905,0.875,0.1869,0.29,1.0,0.0,0.0
nhầm sản_phẩm,0.3435,0.1696,0.5262,0.1158,0.9156,0.17,0.97,0.02,0.01
chất_lượng sản_phẩm rất kém vỏ son méo ? son lỗi đầu son dùng rồi chất son loãng nước không đặc 30p trên môi không khô quệt 1 phát bay màu,0.4677,0.7086,0.4894,0.6396,0.5141,0.68,0.74,0.06,0.2
quá dỏm nước xài thấy da tay khô không có dưỡng ẩm,0.359,0.3652,0.4298,0.3401,0.7187,0.56,1.0,0.0,0.0
kg giong hang gi het,0.3786,0.306,0.4895,0.3081,0.7154,0.17,0.01,0.01,0.98
sản_phẩm đáng yêu cửa_hàng còn tặng quà mua số_lượng nhiều nữa,0.4772,0.625,0.4616,0.7389,0.2818,0.54,0.0,0.0,1.0
mỏng không biết điu con đi xa nó có bục không,0.3542,0.1998,0.5017,0.1694,0.8626,0.29,0.15,0.77,0.07
chất_lượng sản_phẩm tuyệt_vời thời_gian giao hàng rất nhanh bột thơm mịn ngon mong giảm cân quảng_cáo,0.5706,0.744,0.6444,0.8503,0.2475,0.59,0.0,0.0,1.0
không ổn lắm,0.3279,0.2996,0.3598,0.344,0.6398,0.11,0.4,0.6,0.0
tặng đồ xài không được,0.3878,0.3353,0.4497,0.4288,0.5869,0.26,0.97,0.03,0.0
thời_gian giao hàng rất nhanh gói quà hơi sơ xài nha cửa_hàng sản_phẩm tốt,0.527,0.6928,0.5797,0.8207,0.2577,0.4,0.0,0.1,0.9
hàng quá kém,0.342,0.1795,0.5709,0.1529,0.9034,0.23,0.97,0.03,0.01
nhan san pham khong dung voi mo ta,0.3851,0.2726,0.5167,0.2909,0.7445,0.22,0.02,0.71,0.27
cửa_hàng mal làm_ăn tào_lao ghi lốc 6 chai giao hàng giao 6 chai rời,0.4101,0.6171,0.435,0.5802,0.521,0.22,0.61,0.01,0.38
chất_lượng sản_phẩm tuyệt_vời bánh rất ngonmà hộp đóng_gói nhận nhìn không cảm_tình xíu luôn á,0.5596,0.7219,0.6425,0.8006,0.3242,0.44,0.0,0.0,1.0
đóng_gói sản_phẩm rất đẹp chắc_chắn mình không thấy tác_dụng lắm 2 tuần sử_dụng,0.6177,0.7318,0.702,0.9003,0.1904,0.52,0.01,0.07,0.92
so giá tiền chất_lượng như_vậy ổn tuy_nhiên chắc cửa_hàng bạn mấy phụ_kiện điện_thoại bé nên hay nhầm_lẫn quên hay ấy thiếu mất em 1 que chọc sim rồi,0.551,0.7892,0.6125,0.7696,0.3898,0.54,0.0,0.02,0.98
chất_lượng sản_phẩm tuyệt_vời máy dùng thích lắm cửa_hàng_phục_vụ rất tốt đáng tiền cảm_ơn ủng_hộ cửa_hàng,0.641,0.7421,0.761,0.8908,0.23,0.67,0.0,0.0,1.0
thời_gian giao hàng rất nhanh sáng đặt trưa giao,0.4927,0.5322,0.5977,0.6926,0.3612,0.15,0.0,0.03,0.97
giay tốt lam cac ban,0.3973,0.3194,0.532,0.3266,0.7542,0.31,0.03,0.51,0.47
hàng chất_lượng cửa_hàng rất uy_tín,0.4479,0.4405,0.5265,0.552,0.488,0.21,0.0,0.02,0.98
nhìn_chung tạm được mình mua 4 có 1 không lên_đèn nhờ cửa_hàng nghiên_cứu,0.4887,0.7027,0.4767,0.7752,0.2941,0.26,0.0,0.0,1.0
túi nhỏ không vừa kích_cỡ thảm mặc_dù đã cuộn chặt cài dây kéo rất khó kéo vào căng đến_nỗi rạn may túi luôn,0.6007,0.7498,0.6889,0.8429,0.2725,0.56,0.95,0.05,0.0
rất không đáng tiền kich bao hanh từ tháng 12 2017,0.5111,0.4831,0.6207,0.6414,0.4151,0.26,1.0,0.0,0.0
đóng_gói sản_phẩm rất đẹp chắc_chắn chất_lượng sản_phẩm tốt,0.5358,0.6726,0.5837,0.7787,0.3038,0.41,0.0,0.01,0.99
mình không thích cuốn lắm nó nhàm_chán kiểu ý rất gượng_ép nam chính kiểu hời_hợt tình_yêu loằng_ngoằng luẩn_quẩn dễ dễ hiểu làm vô_cớ dễ giận nhau tình_tiết không chặt_chẽ không thuyết_phục cách viết rất non_tay nói_thẳng ra nhảm_nhí tệ nhất cuốn dlvt mình đã đọc tựa động phòng hoa chúc cách vách nó kiểu ý được bìa khá đẹp sách mỏng rất gọn giá cũng hơi chát,0.5728,0.8104,0.6395,0.7844,0.4351,0.48,1.0,0.0,0.0
không giữ đá lâu sản_phẩm zebra thất_vọng về lock,0.3849,0.3778,0.4286,0.4082,0.6262,0.42,1.0,0.0,0.0
chất_lượng sản_phẩm tuyệt_vời trên cả tuyệt_vời,0.4277,0.4411,0.4673,0.5313,0.512,0.22,0.0,0.0,1.0
sản_phẩm rất tốt giá_cả hợp_lí sạc đầy điện_thoại 3300mah được 8 lần thực_sự rất hài_lòng cửa_hàng tư_vấn giải_đáp rất nhiệt_tình 10sao luôn,0.6519,0.7824,0.7949,0.8853,0.2786,0.79,0.01,0.05,0.95
â mình thi bi hư_không vô điên gư i đô i thi bâ tôi mi nh chiê u phi_khăn thi chă chị liê u loa i 2 giao hang châ mình,0.6586,0.759,0.7954,0.9036,0.2305,0.24,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh em trang_trí thêm hihi,0.6574,0.7738,0.7967,0.8804,0.267,0.48,0.0,0.0,1.0
giày rất đẹp nhìn rất xịn hihi,0.6912,0.5489,0.9105,0.8436,0.2363,0.36,0.0,0.0,0.99
cushion xài cực mê cửa_hàng gói hàng cẩn_thận dùng hết sẽ ủng_hộ tiếp 3,0.5317,0.7181,0.5918,0.8197,0.2628,0.69,0.0,0.03,0.97
chất_lượng sản_phẩm tuyệt_vời cửa_hàng_phục_vụ rất tốt xin_lỗi cửa_hàng lúc đầu không đọc kĩ sản_phẩm rất đẹp giá tiền nha mọi,0.6229,0.7809,0.7304,0.8579,0.2946,0.56,0.0,0.0,1.0
cửa_hàng giao hàng cực nhanh luôn gói hàng cẩn_thận nữa chất_lượng giày đẹp dây giày hơi dài ạ lần sẽ mua ủng_hộ cửa_hàng tiếp,0.6808,0.7468,0.8511,0.9419,0.1398,0.9,0.0,0.04,0.96
đóng_gói sản_phẩm rất đẹp chắc_chắn đóng_gói sản_phẩm rất đẹp chắc_chắn cửa_hàng_phục_vụ rất tốt thời_gian giao hàng rất nhanh chất_lượng chờ time,0.6616,0.7907,0.8112,0.8789,0.2842,0.36,0.0,0.0,1.0
giao hàng cực nhanh,0.4741,0.5282,0.5895,0.6953,0.3656,0.15,0.0,0.02,0.97
chuẩn hình ước có thêm box vans tốt,0.4932,0.4797,0.5557,0.6584,0.3316,0.08,0.0,0.98,0.02
trên hình toàn chuột song vậy_mà lúc giao không phải đánh_lừa thị_giác,0.4348,0.629,0.4048,0.6791,0.3768,0.35,0.07,0.92,0.01
máy bị lỏng quá mua 2 chán quá,0.4481,0.3711,0.6295,0.4801,0.602,0.5,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn giao hàng nhanh nhiệt_tình,0.583,0.7359,0.6694,0.8241,0.298,0.44,0.0,0.0,1.0
sản_phẩm tốt lắm nằm thấy dễ_chịu,0.4431,0.3568,0.5451,0.4523,0.6104,0.36,0.0,0.0,1.0
chất_lượng sản_phẩm tuyệt_vời đóng_gói sản_phẩm rất đẹp chắc_chắn ngon nhé cửa_hàng,0.5588,0.7318,0.6151,0.7982,0.3251,0.33,0.0,0.0,0.99
hợp đựng đồng_hồ không giống clip nó ra ten vậy cửa_hàng ? ? ?,0.4196,0.5548,0.3862,0.6207,0.4112,0.13,0.99,0.01,0.0
chất_lượng giấy quá kém bìa bị chảy mực quá kém,0.4144,0.2917,0.5851,0.3257,0.7313,0.49,1.0,0.0,0.0
mình đặt hai size 4 giao 1 size 4 một size 3 giờ không mặc được chả hiu có phải cửa_hàng đẩy hàng đi hết hay không nữa dù sp cũng tạm được cửa_hàng_phục_vụ kém,0.5124,0.7733,0.5261,0.7439,0.416,0.38,0.99,0.01,0.01
đẹp rẻ thích dễ sợ,0.5695,0.5195,0.7185,0.7239,0.3718,0.59,0.0,0.0,1.0
giao hàng không đúng mẫu,0.368,0.3889,0.4638,0.4187,0.6524,0.2,0.91,0.07,0.02
thời_gian giao hàng rất nhanh rất đáng tiền vải mặc bao êm luôn màu cũng giống hình nữa có dịp sẽ ủng_hộ tiếp,0.6823,0.7326,0.8377,0.9523,0.0994,0.83,0.0,0.1,0.89
chất_lượng sản_phẩm tuyệt_vời order hôm hôm nhận hàng,0.4257,0.4536,0.4707,0.5159,0.5417,0.42,0.0,0.0,1.0
cửa_hàng gửi hàng nhanh dép đẹp rất hài_lòng,0.5416,0.5424,0.6376,0.7373,0.303,0.52,0.0,0.01,0.99
dịch_giả không có tâm quá kém dịch gogle dịch,0.3502,0.2579,0.4465,0.273,0.7283,0.16,1.0,0.0,0.0
đẹp hơn mong_đợi có 6 cũng đánh_giá luôn rất đáng tiền,0.5504,0.5875,0.6229,0.7949,0.2442,0.5,0.0,0.0,1.0
giá tốt sản_phẩm chính hãng,0.3891,0.3411,0.4821,0.4161,0.6213,0.4,0.0,0.0,1.0
tôi copy move dữ_liệu usb không được nhanh tốc_độ quảng_cáo tôi đã thử nhiều loại file nhiều máy_tính hệ điều_hành cả windows linux đều chậm có_lẽ usb,0.5791,0.7663,0.6348,0.8135,0.3024,0.41,1.0,0.0,0.0
gói hàng cực_kì kĩ_càng ngoài bọc xốp ra chủ cửa_hàng còn bỏ thêm bọc nylong rồi mới bỏ vô hộp các_tông son đẹp còn nguyên niêm phòng không hề bị trầy ngoài_ra còn được tặng thêm cột tóc siêu xinh nữa cực_kì hài_lòng chúc chủ cửa_hàng mua may bạn đắt,0.579,0.8206,0.6642,0.7963,0.4081,0.53,0.0,0.0,1.0
giày rất đẹp mềm dễ đi đóng_gói cẩn_thận,0.5274,0.5613,0.615,0.6938,0.3597,0.66,0.01,0.01,0.98
cửa_hàng phu chị vu ke mnhân viên giao ha không kiê mình tra ma_y,0.4349,0.6154,0.421,0.6441,0.4345,0.11,0.99,0.01,0.0
nhận_định ban_đầu khá tốt sẽ trải nghiệm thêm,0.4627,0.4729,0.5127,0.6032,0.4251,0.06,0.01,0.07,0.92
chất_lượng sản_phẩm rất kém kim giây liên_tục bị kẹtluôn trễ giờ rất không đáng tiền,0.5149,0.7172,0.5402,0.7708,0.3344,0.5,1.0,0.0,0.0
son max đẹp đúng màu mk thích cảm_ơn cửa_hàng,0.4527,0.457,0.5248,0.5265,0.5145,0.45,0.0,0.0,1.0
cửa_hàng đăng bạn mẫu mới gửi mẫu cũ,0.4547,0.4629,0.4986,0.5655,0.4566,0.14,1.0,0.0,0.0
trông hàng_mã quá tóm không nên dùng,0.3423,0.2196,0.5363,0.1739,0.8997,0.16,0.99,0.01,0.0
áo mặc đẹp hơi ngắn xíu,0.5298,0.4834,0.6431,0.6462,0.4385,0.4,0.03,0.66,0.31
chất dsepj giá hợp_lý ship nhanh_chóng,0.4794,0.5289,0.5103,0.6884,0.3123,0.64,0.0,0.01,0.99
